,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageArea,WoodDeckSF,MiscVal,MoSold,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType,SalePrice_log,SalePrice,BsmtCond_Gd,BsmtCond_None,BsmtCond_Po,BsmtCond_TA,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_Y,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf,HasGasHeating_1,HasSBrkr_1,HasEx_1,HasGd_1,HasGLQ_1,HasPavedDrive_1,HasTA_1
0,0,60,65.0,8450,7,5,196.0,Gd,706,0,150,856,856,0,1710,3,1,8,0,2003.0,548,0,0,2,2566,5,61,3.5,0,1,1,0,0,0,0,2,0,1,12.247694320220996,208500,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
1,1,20,80.0,9600,6,8,0.0,TA,978,0,284,1262,1262,0,1262,3,1,6,1,1976.0,460,298,0,5,2524,31,0,2.5,0,0,0,1,0,0,0,1,0,1,12.109010932687044,181500,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1
2,2,60,68.0,11250,7,5,162.0,Gd,486,0,434,920,920,0,1786,3,1,6,1,2001.0,608,0,0,9,2706,6,42,3.5,0,1,1,0,0,1,0,2,0,1,12.31716669303576,223500,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
3,3,70,60.0,9550,7,5,0.0,TA,216,0,540,756,961,0,1717,3,1,7,1,1998.0,642,0,0,2,2473,36,307,2.0,3,1,1,0,0,1,0,0,0,1,11.849397701591439,140000,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
4,4,60,84.0,14260,8,5,350.0,Gd,655,0,490,1145,1145,0,2198,4,1,9,1,2000.0,836,192,0,12,3343,8,84,3.5,3,1,1,1,0,1,0,2,0,2,12.429216196844385,250000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
5,5,50,85.0,14115,5,5,0.0,TA,732,0,64,796,796,0,1362,1,1,5,0,1993.0,480,40,700,10,2158,14,350,2.5,0,1,1,1,0,1,0,0,0,1,11.870599909242046,143000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
6,6,20,75.0,10084,8,5,186.0,Gd,1369,0,317,1686,1694,0,1694,3,1,7,1,2004.0,636,255,0,8,3380,2,57,3.0,0,0,1,1,0,0,0,2,1,1,12.634603026569335,307000,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1
7,7,60,70.04995836802665,10382,7,6,240.0,TA,859,32,216,1107,1107,0,2090,3,1,7,2,1973.0,484,235,350,11,3197,36,432,3.5,0,1,1,1,0,1,0,1,1,1,12.206072645530176,200000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
8,8,50,51.0,6120,7,5,0.0,TA,0,0,952,952,1022,0,1774,2,2,8,2,1931.0,468,90,0,4,2726,58,205,2.0,0,1,1,1,0,0,0,0,0,1,11.774520202658689,129900,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
9,9,190,50.0,7420,5,6,0.0,TA,851,0,140,991,1077,0,1077,2,2,5,2,1939.0,205,0,0,1,2068,58,4,2.0,0,0,1,0,0,0,0,0,0,1,11.6784399034478,118000,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
10,10,20,70.0,11200,5,5,0.0,TA,906,0,134,1040,1040,0,1040,3,1,5,0,1965.0,384,0,0,2,2080,43,0,2.0,0,0,0,0,0,0,0,1,0,1,11.771436160121727,129500,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
11,11,60,85.0,11924,9,5,286.0,Ex,998,0,177,1175,1182,0,2324,4,1,11,2,2005.0,736,147,0,7,3499,0,21,4.0,3,1,1,1,0,1,0,2,1,2,12.751299696013493,345000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1
12,12,20,70.04995836802665,12968,5,6,0.0,TA,737,0,175,912,912,0,912,2,1,4,0,1962.0,352,140,0,9,1824,46,176,2.0,0,0,1,1,0,1,0,1,0,1,11.877568578558137,144000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
13,13,20,91.0,10652,7,5,306.0,Gd,0,0,1494,1494,1494,0,1494,3,1,7,1,2006.0,840,160,0,8,2988,0,33,2.0,3,0,1,1,0,1,0,2,1,1,12.540757571577293,279500,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
