,Id,SalePrice_old,SalePrice_log_old,MSSubClass,LotFrontage,LotArea,OverallQual,MasVnrArea,ExterQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,KitchenAbvGr,TotRmsAbvGrd,GarageArea,WoodDeckSF,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasFirePlace,HasExBsmtQual,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
0,1,208500,12.24769432,60,65,8450,7,196,Gd,706,150,856,856,1710,1,8,548,0,2566,4011,61,3.5,0,1,1,0,0,1,0,0,1,2,0,1
1,2,181500,12.10901093,20,80,9600,6,0,TA,978,284,1262,1262,1262,1,6,460,298,2524,3983,0,2.5,0,0,0,1,0,1,0,0,1,1,0,1
2,3,223500,12.31716669,60,68,11250,7,162,Gd,486,434,920,920,1786,1,6,608,0,2706,4010,42,3.5,0,1,1,0,0,1,0,1,1,2,0,1
3,4,140000,11.8493977,70,60,9550,7,0,TA,216,540,756,961,1717,1,7,642,0,2473,3976,307,2,3,1,1,0,0,1,0,1,1,0,0,1
4,5,250000,12.4292162,60,84,14260,8,350,Gd,655,490,1145,1145,2198,1,9,836,192,3343,4008,84,3.5,3,1,1,1,0,1,0,1,1,2,0,2
5,6,143000,11.87059991,50,85,14115,5,0,TA,732,64,796,796,1362,1,5,480,40,2158,4004,350,2.5,0,1,1,1,0,1,0,1,1,0,0,1
6,7,307000,12.63460303,20,75,10084,8,186,Gd,1369,317,1686,1694,1694,1,7,636,255,3380,4012,57,3,0,0,1,1,0,1,1,0,1,2,1,1
7,8,200000,12.20607265,60,70.04995837,10382,7,240,TA,859,216,1107,1107,2090,1,7,484,235,3197,3982,432,3.5,0,1,1,1,0,1,0,1,1,1,1,1
8,9,129900,11.7745202,50,51,6120,7,0,TA,0,952,952,1022,1774,2,8,468,90,2726,3958,205,2,0,1,1,1,0,1,0,0,1,0,0,1
9,10,118000,11.6784399,190,50,7420,5,0,TA,851,140,991,1077,1077,2,5,205,0,2068,3958,4,2,0,0,1,0,0,1,0,0,1,0,0,1
10,11,129500,11.77143616,20,70,11200,5,0,TA,906,134,1040,1040,1040,1,5,384,0,2080,3973,0,2,0,0,0,0,0,1,0,0,1,1,0,1
11,12,345000,12.7512997,60,85,11924,9,286,Ex,998,177,1175,1182,2324,1,11,736,147,3499,4012,21,4,3,1,1,1,0,1,1,1,1,2,1,2
12,13,144000,11.87756858,20,70.04995837,12968,5,0,TA,737,175,912,912,912,1,4,352,140,1824,3970,176,2,0,0,1,1,0,1,0,1,1,1,0,1
13,14,279500,12.54075757,20,91,10652,7,306,Gd,0,1494,1494,1494,1494,1,7,840,160,2988,4014,33,2,3,0,1,1,0,1,0,1,1,2,1,1
14,15,157000,11.96400108,20,70.04995837,10920,6,212,TA,733,520,1253,1253,1253,1,5,352,0,2506,3968,389,2.5,0,0,1,0,0,1,0,1,1,1,0,1
15,16,132000,11.7905572,45,51,6120,7,0,TA,0,832,832,854,854,1,5,576,48,1686,4008,112,1,0,0,1,1,0,1,0,0,1,0,0,1
16,17,149000,11.91170158,20,70.04995837,11241,6,180,TA,578,426,1004,1004,1004,1,5,480,0,2008,3980,0,2,0,0,0,0,0,1,0,1,1,1,0,1
17,18,90000,11.40756495,90,72,10791,4,0,TA,0,0,0,1296,1296,2,6,516,0,1296,3973,0,2,0,0,0,0,0,1,0,0,1,0,0,1
18,19,159000,11.97665948,20,66,13695,5,0,TA,646,468,1114,1114,1114,1,6,576,0,2228,4012,102,2.5,0,0,1,0,0,1,0,0,1,2,0,1
19,20,139000,11.84222921,20,70,7560,5,0,TA,504,525,1029,1339,1339,1,6,294,0,2368,3974,0,1,0,0,0,0,0,1,0,0,1,1,0,1
20,21,325300,12.69250311,60,101,14215,8,380,Gd,0,1158,1158,1158,2376,1,9,853,240,3534,4012,154,3.5,3,1,1,1,0,1,1,1,1,2,0,2
21,22,139400,11.84510278,45,57,7449,7,0,TA,0,637,637,1108,1108,1,6,280,0,1745,3957,205,1,0,0,1,0,0,1,0,0,1,2,0,0
22,23,230000,12.34583459,20,75,9742,8,281,Gd,0,1777,1777,1795,1795,1,7,534,171,3572,4010,159,2,0,0,1,1,0,1,0,0,1,2,0,1
23,24,129900,11.7745202,120,44,4224,5,0,TA,840,200,1040,1060,1060,1,6,572,100,2100,3983,110,2,0,0,1,1,0,1,0,0,1,2,0,0
24,25,154000,11.94470788,20,70.04995837,8246,5,0,TA,188,204,1060,1060,1060,1,6,270,406,2120,4011,90,2,0,0,1,1,0,1,0,1,1,1,0,1
25,26,256300,12.45410391,20,110,14230,8,640,Gd,0,1566,1566,1600,1600,1,7,890,0,3166,4016,56,2,3,0,1,0,0,1,0,0,1,2,1,2
26,27,134800,11.81154748,20,60,7200,5,0,TA,234,180,900,900,900,1,5,576,222,1800,4010,32,1.5,0,0,1,1,0,1,0,0,1,1,0,1
