"","Id","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation"
"1",1,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,2,4,3,3
"2",2,4,2,3,1,4,1,3,1,25,2,3,1,3,2,2,9,9,3,3,3,2
"3",3,4,2,3,2,4,1,5,1,6,3,3,1,6,2,2,13,13,2,4,3,3
"4",4,4,2,3,2,4,1,1,1,7,3,3,1,6,2,2,14,15,3,3,3,1
"5",5,4,2,3,2,4,1,3,1,14,3,3,1,6,2,2,13,13,2,4,3,3
"6",6,4,2,3,2,4,1,5,1,12,3,3,1,1,2,2,13,13,3,3,3,6
"7",7,4,2,3,1,4,1,5,1,21,3,3,1,3,2,2,13,13,4,4,3,3
"8",8,4,2,3,2,4,1,1,1,17,5,3,1,6,2,2,7,7,4,3,3,2
"9",9,5,2,3,1,4,1,5,1,18,1,3,1,1,2,2,4,15,3,3,3,1
"10",10,4,2,3,1,4,1,1,1,4,1,1,2,2,2,2,9,9,3,3,3,1
"11",11,4,2,3,1,4,1,5,1,19,3,3,1,3,4,2,7,7,3,3,3,2
"12",12,4,2,3,2,4,1,5,1,16,3,3,1,6,4,2,15,15,4,5,3,3
"13",13,4,2,3,3,4,1,5,1,19,3,3,1,3,4,2,7,10,3,3,3,2
"14",14,4,2,3,2,4,1,5,1,6,3,3,1,3,2,2,13,13,4,4,3,3
"15",15,4,2,3,2,4,1,1,1,13,3,3,1,3,4,2,9,9,2,3,3,2
"16",16,5,2,3,1,4,1,1,1,4,3,3,1,2,2,2,14,14,3,3,3,1
"17",17,4,2,3,2,4,1,2,1,13,3,3,1,3,2,2,14,14,2,3,3,2
"18",18,4,2,3,1,4,1,5,1,19,3,3,3,3,2,2,9,9,3,3,3,4
"19",19,4,2,3,1,4,1,5,1,20,6,3,1,3,2,2,13,13,3,3,3,3
"20",20,4,2,3,1,4,1,5,1,13,3,3,1,3,4,2,4,10,3,3,3,2
"21",21,4,2,3,2,4,1,1,1,16,3,3,1,6,2,2,13,13,2,4,3,3
"22",22,5,2,1,1,1,1,5,1,10,3,3,1,2,2,2,14,14,3,3,3,3
"23",23,4,2,3,1,4,1,5,1,6,3,3,1,3,4,2,13,13,2,4,3,3
"24",24,5,2,3,1,4,1,5,1,11,3,3,5,3,2,2,6,6,3,3,3,3
"25",25,4,2,3,2,4,1,5,1,19,3,3,1,3,2,2,10,10,3,3,4,2
"26",26,4,2,3,1,4,1,1,1,16,3,3,1,3,2,2,13,13,4,4,3,3
"27",27,4,2,3,1,4,1,1,1,13,3,3,1,3,2,2,14,14,3,3,3,2
