Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotBaths,TotPorchSF,TotalSF,Age
1,60,RL,4.189654742026425,9.042040056544483,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,2.23606797749979,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,2.0,1.7320508075688772,PConc,16.0,9.0,1.0,6.0,6.561030665896573,1.0,0.0,150.0,856.0,GasA,125.0,Y,SBrkr,6.75343791859778,6.75110146893676,0.0,7.444833273892193,1.0,0.0,2,1,3.0,1,2.0,2.1972245773362196,Typ,0.0,0.0,Attchd,9.0,2.0,548.0,27.0,27.0,27.0,0.0,4.127134385045092,0.0,0.0,0.0,0,None,None,None,0.0,2.0,2008,WD,Normal,3.5,4.127134385045092,7.8504931808711405,5.0
2,20,RL,4.394449154672439,9.169622538697624,Pave,None,Reg,Lvl,FR2,Gtl,Veenker,Other,Norm,1Fam,1Story,6.0,2.8284271247461903,1976.0,1976.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,1.7320508075688772,1.7320508075688772,CBlock,16.0,9.0,2.0,5.0,6.88653164253051,1.0,0.0,284.0,1262.0,GasA,125.0,Y,SBrkr,7.141245122350491,0.0,0.0,7.141245122350491,0.0,1.0,2,0,3.0,1,1.7320508075688772,1.9459101490553132,Typ,0.6931471805599453,1.7320508075688772,Attchd,9.0,2.0,460.0,27.0,27.0,27.0,5.700443573390687,0.0,0.0,0.0,0.0,0,None,None,None,0.0,5.0,2007,WD,Normal,2.5,0.0,7.83399634170946,31.0
3,60,RL,4.23410650459726,9.328212292571072,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,2.23606797749979,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,2.0,1.7320508075688772,PConc,16.0,9.0,1.4142135623730951,6.0,6.18826412308259,1.0,0.0,434.0,920.0,GasA,125.0,Y,SBrkr,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,1.0,0.0,2,1,3.0,1,2.0,1.9459101490553132,Typ,0.6931471805599453,1.7320508075688772,Attchd,9.0,2.0,608.0,27.0,27.0,27.0,0.0,3.7612001156935624,0.0,0.0,0.0,0,None,None,None,0.0,9.0,2008,WD,Normal,3.5,3.7612001156935624,7.903596289614301,7.0
4,70,RL,4.110873864173311,9.164401140034737,Pave,None,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7.0,2.23606797749979,1915.0,1970.0,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,1.7320508075688772,1.7320508075688772,BrkTil,9.0,16.0,1.0,5.0,5.37989735354046,1.0,0.0,540.0,756.0,GasA,64.0,Y,SBrkr,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1.0,0.0,1,0,3.0,1,2.0,2.0794415416798357,Typ,0.6931471805599453,2.0,Detchd,4.0,3.0,642.0,27.0,27.0,27.0,0.0,3.58351893845611,1.8885037407137346,0.0,0.0,0,None,None,None,0.0,2.0,2006,WD,Abnorml,2.0,5.730099782973574,7.813591552952433,91.0
5,60,RL,4.442651256490317,9.565283817736766,Pave,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,2.23606797749979,2000.0,2000.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,2.0,1.7320508075688772,PConc,16.0,9.0,1.7320508075688772,6.0,6.486160788944089,1.0,0.0,490.0,1145.0,GasA,125.0,Y,SBrkr,7.044032897274685,6.960347729101308,0.0,7.695757990554761,1.0,0.0,2,1,4.0,1,2.0,2.302585092994046,Typ,0.6931471805599453,1.7320508075688772,Attchd,9.0,3.0,836.0,27.0,27.0,27.0,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0,None,None,None,0.0,12.0,2008,WD,Normal,3.5,4.442651256490317,8.114922974204593,8.0
6,50,RL,4.454347296253507,9.55506418479516,Pave,None,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5.0,2.23606797749979,1993.0,1995.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,1.7320508075688772,1.7320508075688772,Wood,16.0,9.0,1.0,6.0,6.597145701886651,1.0,0.0,64.0,796.0,GasA,125.0,Y,SBrkr,6.680854678790215,6.340359303727752,0.0,7.217443431696533,1.0,0.0,1,1,1.0,1,1.7320508075688772,1.791759469228055,Typ,0.0,0.0,Attchd,4.0,2.0,480.0,27.0,27.0,27.0,3.713572066704308,3.4339872044851463,0.0,1.9127139332707952,0.0,0,None,MnPrv,Shed,2.0218796785726947,10.0,2009,WD,Normal,2.5,5.860786223465865,7.677400430514807,16.0
7,20,RL,4.330733340286331,9.218804450388312,Pave,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8.0,2.23606797749979,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,2.0,1.7320508075688772,PConc,25.0,9.0,1.7320508075688772,6.0,7.222566018822171,1.0,0.0,317.0,1686.0,GasA,125.0,Y,SBrkr,7.43543801981455,0.0,0.0,7.43543801981455,1.0,0.0,2,0,3.0,1,2.0,2.0794415416798357,Typ,0.6931471805599453,2.0,Attchd,9.0,2.0,636.0,27.0,27.0,27.0,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0,None,None,None,0.0,8.0,2007,WD,Normal,3.0,4.060443010546419,8.125926802707886,3.0
8,60,RL,4.394449154672439,9.247925132303454,Pave,None,IR1,Lvl,Corner,Gtl,NWAmes,Pos,Norm,1Fam,2Story,7.0,2.449489742783178,1973.0,1973.0,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,1.7320508075688772,1.7320508075688772,CBlock,16.0,9.0,1.4142135623730951,5.0,6.756932389247553,2.0,1.503300998004841,216.0,1107.0,GasA,125.0,Y,SBrkr,7.010311867307229,6.891625897052253,0.0,7.645397699428633,1.0,0.0,2,1,3.0,1,1.7320508075688772,2.0794415416798357,Typ,1.0986122886681098,1.7320508075688772,Attchd,9.0,2.0,484.0,27.0,27.0,27.0,5.4638318050256105,5.3230099791384085,1.8615532204780585,0.0,0.0,0,None,None,Shed,1.9258220450052628,11.0,2009,WD,Normal,3.5,6.07073772800249,8.0702808933939,36.0
9,50,RM,3.9512437185814275,8.71948076085107,Pave,None,Reg,Lvl,Inside,Gtl,OldTown,Other,Norm,1Fam,1.5Fin,7.0,2.23606797749979,1931.0,1950.0,Gable,CompShg,BrkFace,Wd Shng,None,0.0,1.7320508075688772,1.7320508075688772,BrkTil,9.0,9.0,1.0,1.0,0.0,1.0,0.0,952.0,952.0,GasA,64.0,Y,FuseF,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0.0,0.0,2,0,2.0,2,1.7320508075688772,2.1972245773362196,Min1,1.0986122886681098,1.7320508075688772,Detchd,4.0,2.0,468.0,8.0,27.0,27.0,4.51085950651685,0.0,1.8449646614985311,0.0,0.0,0,None,None,None,0.0,4.0,2008,WD,Abnorml,2.0,5.327876168789581,7.910957382845589,77.0
10,190,RL,3.9318256327243257,8.912069097970134,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Other,Other,2fmCon,1.5Unf,5.0,2.449489742783178,1939.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,1.7320508075688772,1.7320508075688772,BrkTil,9.0,9.0,1.0,6.0,6.747586526829315,1.0,0.0,140.0,991.0,GasA,125.0,Y,SBrkr,6.982862751468942,0.0,0.0,6.982862751468942,1.0,0.0,1,0,2.0,2,1.7320508075688772,1.791759469228055,Typ,1.0986122886681098,1.7320508075688772,Attchd,9.0,1.0,205.0,64.0,27.0,27.0,0.0,1.6094379124341003,0.0,0.0,0.0,0,None,None,None,0.0,1.0,2008,WD,Normal,2.0,1.6094379124341003,7.634820677745543,69.0
