MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Age,AgeRemod,HasHouseRemod,HasGarageRemod,TotalSF,TotPorchSF,TotBaths,HasPool,HasMiscFeat,HasModernCircBreak,HasGasHeating,HasCompRoofMatl,HasLandSlope,HasFlatLand,HasPavedStrt,HasCentralAir,HasAlley,SalePrice_log
MSSC_60,RL,65.0,9.042040056544483,Reg,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7.0,1.4953487812212205,2003.0,2003.0,Gable,VinylSd,VinylSd,BrkFace,1.8378799982871266,1.4142135623730951,1.3160740129524924,PConc,16.0,9.0,1.0,6.0,6.561030665896573,1.0,0.0,150.0,856.0,1953125.0,6.75343791859778,2.0478349582905495,7.444833273892193,1,0,2,1,3,1,1.4142135623730951,8,Typ,0,0.0,Attchd,9.0,2,548.0,9.0,27.0,19683.0,0.0,4.127134385045092,0.0,0.0,0.0,No Fence,0.0,Feb,2008,WD,Normal,208500,5,5,0,0,863.4448332738922,4.127134385045092,3.5,0,0,1,1,1,0,1,1,1,0,12.247694320220994
MSSC_20,RL,80.0,9.169622538697624,Reg,AllPub,HasFrontage,Veenker,Artery,Norm,1Fam,1Story,6.0,1.6817928305074292,1976.0,1976.0,Gable,MetalSd,MetalSd,None,0.0,1.3160740129524924,1.3160740129524924,CBlock,16.0,9.0,2.0,5.0,6.88653164253051,1.0,0.0,284.0,1262.0,1953125.0,7.141245122350491,0.0,7.141245122350491,0,1,2,0,3,1,1.3160740129524924,6,Typ,1,1.7320508075688772,Attchd,9.0,2,460.0,9.0,27.0,19683.0,1.9021737291891518,0.0,0.0,0.0,0.0,No Fence,0.0,May,2007,WD,Normal,181500,31,31,0,0,1269.1412451223505,0.0,2.5,0,0,1,1,1,0,1,1,1,0,12.109010932687042
MSSC_60,RL,68.0,9.328212292571072,IR1,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7.0,1.4953487812212205,2001.0,2002.0,Gable,VinylSd,VinylSd,BrkFace,1.8072636887169242,1.4142135623730951,1.3160740129524924,PConc,16.0,9.0,1.4142135623730951,6.0,6.18826412308259,1.0,0.0,434.0,920.0,1953125.0,6.825460036255307,2.049631476134806,7.488293515159428,1,0,2,1,3,1,1.4142135623730951,6,Typ,1,1.7320508075688772,Attchd,9.0,2,608.0,9.0,27.0,19683.0,0.0,3.7612001156935624,0.0,0.0,0.0,No Fence,0.0,Sept,2008,WD,Normal,223500,7,6,0,0,927.4882935151594,3.7612001156935624,3.5,0,0,1,1,1,0,1,1,1,0,12.31716669303576
MSSC_70,RL,60.0,9.164401140034737,IR1,AllPub,Corner,Crawfor,Norm,Norm,1Fam,2Story,7.0,1.4953487812212205,1915.0,1970.0,Gable,Wd Sdng,Wd Shng,None,0.0,1.3160740129524924,1.3160740129524924,BrkTil,9.0,16.0,1.0,5.0,5.37989735354046,1.0,0.0,540.0,756.0,262144.0,6.8690144506657065,2.0320043887913535,7.4489161025442,1,0,1,0,3,1,1.4142135623730951,7,Typ,1,2.0,Detchd,4.0,3,642.0,9.0,27.0,19683.0,0.0,3.58351893845611,0.7230644774060384,0.0,0.0,No Fence,0.0,Feb,2006,WD,Abnorml,140000,91,36,0,1,763.4489161025442,4.306583415862148,2.0,0,0,1,1,1,0,1,1,1,0,11.84939770159144
MSSC_60,RL,84.0,9.565283817736766,IR1,AllPub,HasFrontage,NoRidge,Norm,Norm,1Fam,2Story,8.0,1.4953487812212205,2000.0,2000.0,Gable,VinylSd,VinylSd,BrkFace,1.9258220450052628,1.4142135623730951,1.3160740129524924,PConc,16.0,9.0,1.7320508075688772,6.0,6.486160788944089,1.0,0.0,490.0,1145.0,1953125.0,7.044032897274685,2.074472683462615,7.695757990554761,1,0,2,1,4,1,1.4142135623730951,9,Typ,1,1.7320508075688772,Attchd,9.0,3,836.0,9.0,27.0,19683.0,1.8346098354356497,4.442651256490317,0.0,0.0,0.0,No Fence,0.0,Dec,2008,WD,Normal,250000,8,8,0,0,1152.6957579905547,4.442651256490317,3.5,0,0,1,1,1,0,1,1,1,0,12.429216196844383
MSSC_50,RL,85.0,9.55506418479516,IR1,AllPub,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5.0,1.4953487812212205,1993.0,1995.0,Gable,VinylSd,VinylSd,None,0.0,1.3160740129524924,1.3160740129524924,other,16.0,9.0,1.0,6.0,6.597145701886651,1.0,0.0,64.0,796.0,1953125.0,6.680854678790215,1.993387792889887,7.217443431696533,1,0,1,1,1,1,1.3160740129524924,5,Typ,0,0.0,Attchd,4.0,2,480.0,9.0,27.0,19683.0,1.5504460211620947,3.4339872044851463,0.0,0.7271066109048839,0.0,MnPrv,0.7447329799130843,Oct,2009,WD,Normal,143000,16,14,0,0,803.2174434316966,4.16109381539003,2.5,0,1,1,1,1,0,1,1,1,0,11.870599909242044
MSSC_20,RL,75.0,9.218804450388312,Reg,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8.0,1.4953487812212205,2004.0,2005.0,Gable,VinylSd,VinylSd,Stone,1.8295542650992236,1.4142135623730951,1.3160740129524924,PConc,25.0,9.0,1.7320508075688772,6.0,7.222566018822171,1.0,0.0,317.0,1686.0,1953125.0,7.43543801981455,0.0,7.43543801981455,1,0,2,0,3,1,1.4142135623730951,7,Typ,1,2.0,Attchd,9.0,2,636.0,9.0,27.0,19683.0,1.8787285104503608,4.060443010546419,0.0,0.0,0.0,No Fence,0.0,Aug,2007,WD,Normal,307000,3,2,0,0,1693.4354380198145,4.060443010546419,3.0,0,0,1,1,1,0,1,1,1,0,12.634603026569334
MSSC_60,RL,80.0,9.247925132303454,IR1,AllPub,Corner,NWAmes,Pos,Norm,1Fam,2Story,7.0,1.5650845800732873,1973.0,1973.0,Gable,HdBoard,HdBoard,Stone,1.8694605040153234,1.3160740129524924,1.3160740129524924,CBlock,16.0,9.0,1.4142135623730951,5.0,6.756932389247553,2.0,0.6510797546220851,216.0,1107.0,1953125.0,7.010311867307229,2.065802184230466,7.645397699428633,1,0,2,1,3,1,1.3160740129524924,7,Typ,2,1.7320508075688772,Attchd,9.0,2,484.0,9.0,27.0,19683.0,1.8662223006181342,5.3230099791384085,0.7185052114656592,0.0,0.0,No Fence,0.7292744033340365,Nov,2009,WD,Normal,200000,36,36,0,0,1114.6453976994287,6.041515190604068,3.5,0,1,1,1,1,0,1,1,1,0,12.206072645530174
MSSC_50,RM,51.0,8.71948076085107,Reg,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7.0,1.4953487812212205,1931.0,1950.0,Gable,BrkFace,Wd Shng,None,0.0,1.3160740129524924,1.3160740129524924,BrkTil,9.0,9.0,1.0,1.0,0.0,1.0,0.0,952.0,952.0,262144.0,6.930494765951626,2.031309721902906,7.4815557019095165,0,0,2,0,2,2,1.3160740129524924,8,Min1,2,1.7320508075688772,Detchd,4.0,2,468.0,4.0,27.0,19683.0,1.7067206012930416,0.0,0.7156670179122586,0.0,0.0,No Fence,0.0,Apr,2008,WD,Abnorml,129900,77,58,0,0,959.4815557019095,0.7156670179122586,2.0,0,0,0,1,1,0,1,1,1,0,11.77452020265869
MSSC_190,RL,50.0,8.912069097970134,Reg,AllPub,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5.0,1.5650845800732873,1939.0,1950.0,Gable,MetalSd,MetalSd,None,0.0,1.3160740129524924,1.3160740129524924,BrkTil,9.0,9.0,1.0,6.0,6.747586526829315,1.0,0.0,140.0,991.0,1953125.0,6.982862751468942,0.0,6.982862751468942,1,0,1,0,2,2,1.3160740129524924,5,Typ,2,1.7320508075688772,Attchd,9.0,1,205.0,16.0,27.0,19683.0,0.0,1.6094379124341003,0.0,0.0,0.0,No Fence,0.0,Jan,2008,WD,Normal,118000,69,58,0,0,997.9828627514689,1.6094379124341003,2.0,0,0,1,1,1,0,1,1,1,0,11.678439903447801
