,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageArea,WoodDeckSF,MiscVal,MoSold,SalePrice,SalePrice_log,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
0,1,60,65.0,8450,7,5,196.0,Gd,706,0,150,856,856,0,1710,3,1,8,0,2003.0,548,0,0,2,208500,12.247694320220994,2566,5,61,3.5,0,1,1,0,0,0,0,2,0,1
1,2,20,80.0,9600,6,8,0.0,TA,978,0,284,1262,1262,0,1262,3,1,6,1,1976.0,460,298,0,5,181500,12.109010932687042,2524,31,0,2.5,0,0,0,1,0,0,0,1,0,1
2,3,60,68.0,11250,7,5,162.0,Gd,486,0,434,920,920,0,1786,3,1,6,1,2001.0,608,0,0,9,223500,12.31716669303576,2706,6,42,3.5,0,1,1,0,0,1,0,2,0,1
3,4,70,60.0,9550,7,5,0.0,TA,216,0,540,756,961,0,1717,3,1,7,1,1998.0,642,0,0,2,140000,11.84939770159144,2473,36,307,2.0,3,1,1,0,0,1,0,0,0,1
4,5,60,84.0,14260,8,5,350.0,Gd,655,0,490,1145,1145,0,2198,4,1,9,1,2000.0,836,192,0,12,250000,12.429216196844383,3343,8,84,3.5,3,1,1,1,0,1,0,2,0,2
5,6,50,85.0,14115,5,5,0.0,TA,732,0,64,796,796,0,1362,1,1,5,0,1993.0,480,40,700,10,143000,11.870599909242044,2158,14,350,2.5,0,1,1,1,0,1,0,0,0,1
6,7,20,75.0,10084,8,5,186.0,Gd,1369,0,317,1686,1694,0,1694,3,1,7,1,2004.0,636,255,0,8,307000,12.634603026569334,3380,2,57,3.0,0,0,1,1,0,0,0,2,1,1
7,8,60,70.04995836802665,10382,7,6,240.0,TA,859,32,216,1107,1107,0,2090,3,1,7,2,1973.0,484,235,350,11,200000,12.206072645530174,3197,36,432,3.5,0,1,1,1,0,1,0,1,1,1
8,9,50,51.0,6120,7,5,0.0,TA,0,0,952,952,1022,0,1774,2,2,8,2,1931.0,468,90,0,4,129900,11.77452020265869,2726,58,205,2.0,0,1,1,1,0,0,0,0,0,1
9,10,190,50.0,7420,5,6,0.0,TA,851,0,140,991,1077,0,1077,2,2,5,2,1939.0,205,0,0,1,118000,11.678439903447801,2068,58,4,2.0,0,0,1,0,0,0,0,0,0,1
10,11,20,70.0,11200,5,5,0.0,TA,906,0,134,1040,1040,0,1040,3,1,5,0,1965.0,384,0,0,2,129500,11.771436160121729,2080,43,0,2.0,0,0,0,0,0,0,0,1,0,1
11,12,60,85.0,11924,9,5,286.0,Ex,998,0,177,1175,1182,0,2324,4,1,11,2,2005.0,736,147,0,7,345000,12.751299696013497,3499,0,21,4.0,3,1,1,1,0,1,0,2,1,2
12,13,20,70.04995836802665,12968,5,6,0.0,TA,737,0,175,912,912,0,912,2,1,4,0,1962.0,352,140,0,9,144000,11.877568578558138,1824,46,176,2.0,0,0,1,1,0,1,0,1,0,1
13,14,20,91.0,10652,7,5,306.0,Gd,0,0,1494,1494,1494,0,1494,3,1,7,1,2006.0,840,160,0,8,279500,12.540757571577291,2988,0,33,2.0,3,0,1,1,0,1,0,2,1,1
14,15,20,70.04995836802665,10920,6,5,212.0,TA,733,0,520,1253,1253,0,1253,2,1,5,1,1960.0,352,0,0,5,157000,11.964001084330445,2506,48,389,2.5,0,0,1,0,0,1,0,1,0,1
15,16,45,51.0,6120,7,8,0.0,TA,0,0,832,832,854,0,854,2,1,5,0,1991.0,576,48,0,7,132000,11.790557201568507,1686,6,112,1.0,0,0,1,1,0,0,0,0,0,1
16,17,20,70.04995836802665,11241,6,7,180.0,TA,578,0,426,1004,1004,0,1004,2,1,5,1,1970.0,480,0,700,3,149000,11.911701584927597,2008,40,0,2.0,0,0,0,0,0,1,0,1,0,1
17,18,90,72.0,10791,4,5,0.0,TA,0,0,0,0,1296,0,1296,2,2,6,0,1967.0,516,0,500,10,90000,11.407564949312402,1296,39,0,2.0,0,0,0,0,0,0,0,0,0,1
18,19,20,66.0,13695,5,5,0.0,TA,646,0,468,1114,1114,0,1114,3,1,6,0,2004.0,576,0,0,6,159000,11.976659481202368,2228,4,102,2.5,0,0,1,0,0,0,0,2,0,1
19,20,20,70.0,7560,5,6,0.0,TA,504,0,525,1029,1339,0,1339,3,1,6,0,1958.0,294,0,0,5,139000,11.842229212112828,2368,44,0,1.0,0,0,0,0,0,0,0,1,0,1
20,21,60,101.0,14215,8,5,380.0,Gd,0,0,1158,1158,1158,0,2376,4,1,9,1,2005.0,853,240,0,11,325300,12.692503112461443,3534,0,154,3.5,3,1,1,1,0,1,0,2,0,2
21,22,45,57.0,7449,7,7,0.0,TA,0,0,637,637,1108,0,1108,3,1,6,1,1930.0,280,0,0,6,139400,11.845102777308561,1745,57,205,1.0,0,0,1,0,0,0,0,2,0,0
22,23,20,75.0,9742,8,5,281.0,Gd,0,0,1777,1777,1795,0,1795,3,1,7,1,2002.0,534,171,0,9,230000,12.345834587905333,3572,6,159,2.0,0,0,1,1,0,0,0,2,0,1
23,24,120,44.0,4224,5,7,0.0,TA,840,0,200,1040,1060,0,1060,3,1,6,1,1976.0,572,100,0,6,129900,11.77452020265869,2100,31,110,2.0,0,0,1,1,0,0,0,2,0,0
24,25,20,70.04995836802665,8246,5,8,0.0,TA,188,668,204,1060,1060,0,1060,3,1,6,1,1968.0,270,406,0,5,154000,11.944707881395766,2120,9,90,2.0,0,0,1,1,0,1,0,1,0,1
25,26,20,110.0,14230,8,5,640.0,Gd,0,0,1566,1566,1600,0,1600,3,1,7,1,2007.0,890,0,0,7,256300,12.454103912352162,3166,2,56,2.0,3,0,1,0,0,0,0,2,1,2
26,27,20,60.0,7200,5,7,0.0,TA,234,486,180,900,900,0,900,3,1,5,0,2005.0,576,222,0,5,134800,11.811547477460344,1800,10,32,1.5,0,0,1,1,0,0,0,1,0,1
27,28,20,98.0,11478,8,5,200.0,Gd,1218,0,486,1704,1704,0,1704,3,1,7,1,2008.0,772,0,0,5,306000,12.631340380934517,3408,2,50,3.0,3,0,1,0,0,0,0,2,1,2
28,29,20,47.0,16321,5,6,0.0,TA,1277,0,207,1484,1600,0,1600,2,1,6,2,1957.0,319,288,0,12,207500,12.24288661865289,3084,9,258,2.0,0,0,1,1,0,1,0,1,0,1
29,30,30,60.0,6324,4,6,0.0,TA,0,0,520,520,520,0,520,1,1,4,0,1920.0,240,49,0,5,68500,11.134589024250317,1040,58,87,1.0,0,0,1,1,0,1,0,0,0,1
30,31,70,50.0,8500,4,4,0.0,TA,0,0,649,649,649,0,1317,3,1,6,0,1920.0,250,0,0,7,40000,10.596634733096073,1966,58,226,1.0,0,1,1,0,0,0,0,0,0,0
31,32,20,70.04995836802665,8544,5,6,0.0,TA,0,0,1228,1228,1228,0,1228,3,1,6,0,1966.0,271,0,0,6,149350,11.914047823644255,2456,2,65,1.5,0,0,1,0,0,1,0,1,0,1
32,33,20,85.0,11049,8,5,0.0,Gd,0,0,1234,1234,1234,0,1234,3,1,7,0,2007.0,484,0,0,1,179900,12.100156419938624,2468,1,30,2.0,0,0,1,0,0,0,0,2,0,1
33,34,20,70.0,10552,5,5,0.0,TA,1018,0,380,1398,1700,0,1700,4,1,6,1,1959.0,447,0,0,4,165500,12.016726473799254,3098,51,38,2.0,0,0,1,0,0,1,0,1,0,1
34,35,120,60.0,7313,9,5,246.0,Ex,1153,0,408,1561,1561,0,1561,2,1,6,1,2005.0,556,203,0,8,277500,12.533576212168626,3122,2,47,3.0,0,0,1,1,0,0,0,2,0,2
35,36,60,108.0,13418,8,5,132.0,Gd,0,0,1117,1117,1132,0,2452,4,1,9,1,2004.0,691,113,0,9,309000,12.641096555879882,3569,1,32,3.5,3,1,1,1,0,0,0,2,1,2
36,37,20,112.0,10859,5,5,0.0,TA,0,0,1097,1097,1097,0,1097,3,1,6,0,1995.0,672,392,0,6,145000,11.884489021402711,2194,14,64,1.5,0,0,1,1,0,0,0,2,0,1
37,38,20,74.0,8532,5,6,650.0,TA,1213,0,84,1297,1297,0,1297,3,1,5,1,1954.0,498,0,0,10,153000,11.938193200374572,2594,19,0,1.5,0,0,0,0,0,0,0,1,0,1
38,39,20,68.0,7922,5,7,0.0,TA,731,0,326,1057,1057,0,1057,3,1,5,0,1953.0,246,0,0,1,109000,11.59910316121128,2114,3,52,2.0,0,0,1,0,0,0,0,1,0,1
39,40,90,65.0,6040,4,5,0.0,TA,0,0,0,0,1152,0,1152,2,2,6,0,,0,0,0,6,82000,11.314474526246391,1152,53,0,2.0,0,0,0,0,0,0,0,2,0,1
40,41,20,84.0,8658,6,5,101.0,TA,643,0,445,1088,1324,0,1324,3,1,6,1,1965.0,440,0,0,12,160000,11.982929094215963,2412,41,138,2.0,0,0,1,0,0,0,0,1,0,1
