,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,WoodDeckSF,SalePrice,SalePrice_log,TotalSF,Age,AgeRemod,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
0,1,60,65.0,8450,7,5,196.0,Gd,706,150,856,856,1710,3,1,8,0,548,0,208500,12.247694320220994,2566,5,5,61,3.5,0,1,1,0,0,0,0,2,0,1
1,2,20,80.0,9600,6,8,0.0,TA,978,284,1262,1262,1262,3,1,6,1,460,298,181500,12.109010932687042,2524,31,31,0,2.5,0,0,0,1,0,0,0,1,0,1
2,3,60,68.0,11250,7,5,162.0,Gd,486,434,920,920,1786,3,1,6,1,608,0,223500,12.31716669303576,2706,7,6,42,3.5,0,1,1,0,0,1,0,2,0,1
3,4,70,60.0,9550,7,5,0.0,TA,216,540,756,961,1717,3,1,7,1,642,0,140000,11.84939770159144,2473,91,36,307,2.0,3,1,1,0,0,1,0,0,0,1
4,5,60,84.0,14260,8,5,350.0,Gd,655,490,1145,1145,2198,4,1,9,1,836,192,250000,12.429216196844383,3343,8,8,84,3.5,3,1,1,1,0,1,0,2,0,2
5,6,50,85.0,14115,5,5,0.0,TA,732,64,796,796,1362,1,1,5,0,480,40,143000,11.870599909242044,2158,16,14,350,2.5,0,1,1,1,0,1,0,0,0,1
6,7,20,75.0,10084,8,5,186.0,Gd,1369,317,1686,1694,1694,3,1,7,1,636,255,307000,12.634603026569334,3380,3,2,57,3.0,0,0,1,1,0,0,0,2,1,1
7,8,60,70.04995836802665,10382,7,6,240.0,TA,859,216,1107,1107,2090,3,1,7,2,484,235,200000,12.206072645530174,3197,36,36,432,3.5,0,1,1,1,0,1,0,1,1,1
8,9,50,51.0,6120,7,5,0.0,TA,0,952,952,1022,1774,2,2,8,2,468,90,129900,11.77452020265869,2726,77,58,205,2.0,0,1,1,1,0,0,0,0,0,1
9,10,190,50.0,7420,5,6,0.0,TA,851,140,991,1077,1077,2,2,5,2,205,0,118000,11.678439903447801,2068,69,58,4,2.0,0,0,1,0,0,0,0,0,0,1
10,11,20,70.0,11200,5,5,0.0,TA,906,134,1040,1040,1040,3,1,5,0,384,0,129500,11.771436160121729,2080,43,43,0,2.0,0,0,0,0,0,0,0,1,0,1
11,12,60,85.0,11924,9,5,286.0,Ex,998,177,1175,1182,2324,4,1,11,2,736,147,345000,12.751299696013497,3499,1,0,21,4.0,3,1,1,1,0,1,0,2,1,2
12,13,20,70.04995836802665,12968,5,6,0.0,TA,737,175,912,912,912,2,1,4,0,352,140,144000,11.877568578558138,1824,46,46,176,2.0,0,0,1,1,0,1,0,1,0,1
13,14,20,91.0,10652,7,5,306.0,Gd,0,1494,1494,1494,1494,3,1,7,1,840,160,279500,12.540757571577291,2988,1,0,33,2.0,3,0,1,1,0,1,0,2,1,1
14,15,20,70.04995836802665,10920,6,5,212.0,TA,733,520,1253,1253,1253,2,1,5,1,352,0,157000,11.964001084330445,2506,48,48,389,2.5,0,0,1,0,0,1,0,1,0,1
15,16,45,51.0,6120,7,8,0.0,TA,0,832,832,854,854,2,1,5,0,576,48,132000,11.790557201568507,1686,78,6,112,1.0,0,0,1,1,0,0,0,0,0,1
16,17,20,70.04995836802665,11241,6,7,180.0,TA,578,426,1004,1004,1004,2,1,5,1,480,0,149000,11.911701584927597,2008,40,40,0,2.0,0,0,0,0,0,1,0,1,0,1
17,18,90,72.0,10791,4,5,0.0,TA,0,0,0,1296,1296,2,2,6,0,516,0,90000,11.407564949312402,1296,39,39,0,2.0,0,0,0,0,0,0,0,0,0,1
18,19,20,66.0,13695,5,5,0.0,TA,646,468,1114,1114,1114,3,1,6,0,576,0,159000,11.976659481202368,2228,4,4,102,2.5,0,0,1,0,0,0,0,2,0,1
19,20,20,70.0,7560,5,6,0.0,TA,504,525,1029,1339,1339,3,1,6,0,294,0,139000,11.842229212112828,2368,51,44,0,1.0,0,0,0,0,0,0,0,1,0,1
20,21,60,101.0,14215,8,5,380.0,Gd,0,1158,1158,1158,2376,4,1,9,1,853,240,325300,12.692503112461443,3534,1,0,154,3.5,3,1,1,1,0,1,0,2,0,2
21,22,45,57.0,7449,7,7,0.0,TA,0,637,637,1108,1108,3,1,6,1,280,0,139400,11.845102777308561,1745,77,57,205,1.0,0,0,1,0,0,0,0,2,0,0
22,23,20,75.0,9742,8,5,281.0,Gd,0,1777,1777,1795,1795,3,1,7,1,534,171,230000,12.345834587905333,3572,6,6,159,2.0,0,0,1,1,0,0,0,2,0,1
23,24,120,44.0,4224,5,7,0.0,TA,840,200,1040,1060,1060,3,1,6,1,572,100,129900,11.77452020265869,2100,31,31,110,2.0,0,0,1,1,0,0,0,2,0,0
24,25,20,70.04995836802665,8246,5,8,0.0,TA,188,204,1060,1060,1060,3,1,6,1,270,406,154000,11.944707881395766,2120,42,9,90,2.0,0,0,1,1,0,1,0,1,0,1
25,26,20,110.0,14230,8,5,640.0,Gd,0,1566,1566,1600,1600,3,1,7,1,890,0,256300,12.454103912352162,3166,2,2,56,2.0,3,0,1,0,0,0,0,2,1,2
26,27,20,60.0,7200,5,7,0.0,TA,234,180,900,900,900,3,1,5,0,576,222,134800,11.811547477460344,1800,59,10,32,1.5,0,0,1,1,0,0,0,1,0,1
27,28,20,98.0,11478,8,5,200.0,Gd,1218,486,1704,1704,1704,3,1,7,1,772,0,306000,12.631340380934517,3408,3,2,50,3.0,3,0,1,0,0,0,0,2,1,2
28,29,20,47.0,16321,5,6,0.0,TA,1277,207,1484,1600,1600,2,1,6,2,319,288,207500,12.24288661865289,3084,49,9,258,2.0,0,0,1,1,0,1,0,1,0,1
29,30,30,60.0,6324,4,6,0.0,TA,0,520,520,520,520,1,1,4,0,240,49,68500,11.134589024250317,1040,81,58,87,1.0,0,0,1,1,0,1,0,0,0,1
30,31,70,50.0,8500,4,4,0.0,TA,0,649,649,649,1317,3,1,6,0,250,0,40000,10.596634733096073,1966,88,58,226,1.0,0,1,1,0,0,0,0,0,0,0
31,32,20,70.04995836802665,8544,5,6,0.0,TA,0,1228,1228,1228,1228,3,1,6,0,271,0,149350,11.914047823644255,2456,42,2,65,1.5,0,0,1,0,0,1,0,1,0,1
32,33,20,85.0,11049,8,5,0.0,Gd,0,1234,1234,1234,1234,3,1,7,0,484,0,179900,12.100156419938624,2468,1,1,30,2.0,0,0,1,0,0,0,0,2,0,1
33,34,20,70.0,10552,5,5,0.0,TA,1018,380,1398,1700,1700,4,1,6,1,447,0,165500,12.016726473799254,3098,51,51,38,2.0,0,0,1,0,0,1,0,1,0,1
34,35,120,60.0,7313,9,5,246.0,Ex,1153,408,1561,1561,1561,2,1,6,1,556,203,277500,12.533576212168626,3122,2,2,47,3.0,0,0,1,1,0,0,0,2,0,2
35,36,60,108.0,13418,8,5,132.0,Gd,0,1117,1117,1132,2452,4,1,9,1,691,113,309000,12.641096555879882,3569,2,1,32,3.5,3,1,1,1,0,0,0,2,1,2
36,37,20,112.0,10859,5,5,0.0,TA,0,1097,1097,1097,1097,3,1,6,0,672,392,145000,11.884489021402711,2194,15,14,64,1.5,0,0,1,1,0,0,0,2,0,1
37,38,20,74.0,8532,5,6,650.0,TA,1213,84,1297,1297,1297,3,1,5,1,498,0,153000,11.938193200374572,2594,55,19,0,1.5,0,0,0,0,0,0,0,1,0,1
38,39,20,68.0,7922,5,7,0.0,TA,731,326,1057,1057,1057,3,1,5,0,246,0,109000,11.59910316121128,2114,57,3,52,2.0,0,0,1,0,0,0,0,1,0,1
39,40,90,65.0,6040,4,5,0.0,TA,0,0,0,1152,1152,2,2,6,0,0,0,82000,11.314474526246391,1152,53,53,0,2.0,0,0,0,0,0,0,0,2,0,1
40,41,20,84.0,8658,6,5,101.0,TA,643,445,1088,1324,1324,3,1,6,1,440,0,160000,11.982929094215963,2412,41,41,138,2.0,0,0,1,0,0,0,0,1,0,1
41,42,20,115.0,16905,5,6,0.0,TA,967,383,1350,1328,1328,2,1,5,2,308,0,170000,12.043553716032399,2678,48,48,104,2.0,0,0,1,0,0,0,0,1,0,1
42,43,85,70.04995836802665,9180,5,7,0.0,TA,747,0,840,884,884,2,1,5,0,504,240,144000,11.877568578558138,1724,24,24,0,2.0,0,0,0,1,0,1,0,1,0,1
43,44,20,70.04995836802665,9200,5,6,0.0,TA,280,167,938,938,938,3,1,5,0,308,145,130250,11.777210959615614,1876,33,28,0,2.0,0,0,0,1,0,1,0,1,0,1
44,45,20,70.0,7945,5,6,0.0,TA,179,465,1150,1150,1150,3,1,6,0,300,0,141000,11.856515169360305,2300,47,47,0,2.0,0,0,0,0,0,0,0,1,0,1
45,46,120,61.0,7658,9,5,412.0,Ex,456,1296,1752,1752,1752,2,1,6,1,576,196,319900,12.675763725937609,3504,5,5,82,3.0,0,0,1,1,0,0,0,2,0,2
46,47,50,48.0,12822,7,5,0.0,Gd,1351,83,1434,1518,2149,1,1,6,1,670,168,239686,12.387085012375499,3583,6,6,241,2.5,0,1,1,1,0,1,0,2,0,1
47,48,20,84.0,11096,8,5,0.0,Gd,24,1632,1656,1656,1656,3,1,7,0,826,0,249700,12.428015476267865,3312,1,1,146,2.0,3,0,1,0,0,0,0,2,0,1
48,49,190,33.0,4456,4,5,0.0,TA,0,736,736,736,1452,2,3,8,0,0,0,113000,11.635143097694478,2188,89,1,102,2.0,0,1,1,0,0,0,0,0,0,1
49,50,20,66.0,7742,5,7,0.0,TA,763,192,955,955,955,3,1,6,0,386,0,127000,11.751942365440728,1910,41,41,0,2.0,0,0,0,0,0,0,0,1,0,1
50,51,60,70.04995836802665,13869,6,6,0.0,TA,182,612,794,794,1470,3,1,6,0,388,0,177000,12.083905011555967,2264,10,10,75,2.5,0,1,1,0,0,1,0,2,0,1
51,52,50,52.0,6240,6,6,0.0,TA,0,816,816,816,1176,3,1,6,1,528,112,114500,11.648330101976432,1992,72,56,0,1.0,0,0,0,1,0,0,0,2,0,1
52,53,90,110.0,8472,5,5,0.0,Fa,104,0,816,816,816,2,1,5,0,516,106,110000,11.608235644774552,1632,47,47,0,2.0,0,0,0,1,0,1,1,1,0,0
53,54,20,68.0,50271,9,5,0.0,Gd,1810,32,1842,1842,1842,0,1,5,1,894,857,385000,12.86099861326992,3684,25,19,72,2.5,3,0,1,1,0,1,0,1,0,1
