,Id,LotFrontage,LotArea,LotShape,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,SalePrice_log
0,1,65.0,8450,Reg,Gtl,CollgCr,7,5,2003,2003,BrkFace,196.0,PConc,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003.0,2,548,0,61,0,0,0,0,0,2,2008,208500,12.247694320220994
1,2,80.0,9600,Reg,Gtl,Veenker,6,8,1976,1976,None,0.0,CBlock,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976.0,2,460,298,0,0,0,0,0,0,5,2007,181500,12.109010932687042
2,3,68.0,11250,IR1,Gtl,CollgCr,7,5,2001,2002,BrkFace,162.0,PConc,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001.0,2,608,0,42,0,0,0,0,0,9,2008,223500,12.31716669303576
3,4,60.0,9550,IR1,Gtl,Crawfor,7,5,1915,1970,None,0.0,BrkTil,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998.0,3,642,0,35,272,0,0,0,0,2,2006,140000,11.84939770159144
4,5,84.0,14260,IR1,Gtl,NoRidge,8,5,2000,2000,BrkFace,350.0,PConc,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000.0,3,836,192,84,0,0,0,0,0,12,2008,250000,12.429216196844383
5,6,85.0,14115,IR1,Gtl,Mitchel,5,5,1993,1995,None,0.0,Wood,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993.0,2,480,40,30,0,320,0,0,700,10,2009,143000,11.870599909242044
6,7,75.0,10084,Reg,Gtl,Somerst,8,5,2004,2005,Stone,186.0,PConc,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004.0,2,636,255,57,0,0,0,0,0,8,2007,307000,12.634603026569334
7,8,70.04995836802665,10382,IR1,Gtl,NWAmes,7,6,1973,1973,Stone,240.0,CBlock,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973.0,2,484,235,204,228,0,0,0,350,11,2009,200000,12.206072645530174
8,9,51.0,6120,Reg,Gtl,OldTown,7,5,1931,1950,None,0.0,BrkTil,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931.0,2,468,90,0,205,0,0,0,0,4,2008,129900,11.77452020265869
9,10,50.0,7420,Reg,Gtl,BrkSide,5,6,1939,1950,None,0.0,BrkTil,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939.0,1,205,0,4,0,0,0,0,0,1,2008,118000,11.678439903447801
10,11,70.0,11200,Reg,Gtl,Sawyer,5,5,1965,1965,None,0.0,CBlock,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1965.0,1,384,0,0,0,0,0,0,0,2,2008,129500,11.771436160121729
11,12,85.0,11924,IR1,Gtl,NridgHt,9,5,2005,2006,Stone,286.0,PConc,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005.0,3,736,147,21,0,0,0,0,0,7,2006,345000,12.751299696013497
12,13,70.04995836802665,12968,IR2,Gtl,Sawyer,5,6,1962,1962,None,0.0,CBlock,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1962.0,1,352,140,0,0,0,176,0,0,9,2008,144000,11.877568578558138
13,14,91.0,10652,IR1,Gtl,CollgCr,7,5,2006,2007,Stone,306.0,PConc,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006.0,3,840,160,33,0,0,0,0,0,8,2007,279500,12.540757571577291
14,15,70.04995836802665,10920,IR1,Gtl,NAmes,6,5,1960,1960,BrkFace,212.0,CBlock,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960.0,1,352,0,213,176,0,0,0,0,5,2008,157000,11.964001084330445
15,16,51.0,6120,Reg,Gtl,BrkSide,7,8,1929,2001,None,0.0,BrkTil,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,1991.0,2,576,48,112,0,0,0,0,0,7,2007,132000,11.790557201568507
16,17,70.04995836802665,11241,IR1,Gtl,NAmes,6,7,1970,1970,BrkFace,180.0,CBlock,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970.0,2,480,0,0,0,0,0,0,700,3,2010,149000,11.911701584927597
17,18,72.0,10791,Reg,Gtl,Sawyer,4,5,1967,1967,None,0.0,Slab,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,1967.0,2,516,0,0,0,0,0,0,500,10,2006,90000,11.407564949312402
18,19,66.0,13695,Reg,Gtl,SawyerW,5,5,2004,2004,None,0.0,PConc,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2004.0,2,576,0,102,0,0,0,0,0,6,2008,159000,11.976659481202368
19,20,70.0,7560,Reg,Gtl,NAmes,5,6,1958,1965,None,0.0,CBlock,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1958.0,1,294,0,0,0,0,0,0,0,5,2009,139000,11.842229212112828
20,21,101.0,14215,IR1,Gtl,NridgHt,8,5,2005,2006,BrkFace,380.0,PConc,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005.0,3,853,240,154,0,0,0,0,0,11,2006,325300,12.692503112461443
21,22,57.0,7449,Reg,Gtl,IDOTRR,7,7,1930,1950,None,0.0,PConc,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1930.0,1,280,0,0,205,0,0,0,0,6,2007,139400,11.845102777308561
22,23,75.0,9742,Reg,Gtl,CollgCr,8,5,2002,2002,BrkFace,281.0,PConc,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2002.0,2,534,171,159,0,0,0,0,0,9,2008,230000,12.345834587905333
23,24,44.0,4224,Reg,Gtl,MeadowV,5,7,1976,1976,None,0.0,PConc,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,1976.0,2,572,100,110,0,0,0,0,0,6,2007,129900,11.77452020265869
24,25,70.04995836802665,8246,IR1,Gtl,Sawyer,5,8,1968,2001,None,0.0,CBlock,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1968.0,1,270,406,90,0,0,0,0,0,5,2010,154000,11.944707881395766
25,26,110.0,14230,Reg,Gtl,NridgHt,8,5,2007,2007,Stone,640.0,PConc,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,2007.0,3,890,0,56,0,0,0,0,0,7,2009,256300,12.454103912352162
26,27,60.0,7200,Reg,Gtl,NAmes,5,7,1951,2000,None,0.0,CBlock,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2005.0,2,576,222,32,0,0,0,0,0,5,2010,134800,11.811547477460344
27,28,98.0,11478,Reg,Gtl,NridgHt,8,5,2007,2008,Stone,200.0,PConc,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008.0,3,772,0,50,0,0,0,0,0,5,2010,306000,12.631340380934517
28,29,47.0,16321,IR1,Gtl,NAmes,5,6,1957,1997,None,0.0,CBlock,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1957.0,1,319,288,258,0,0,0,0,0,12,2006,207500,12.24288661865289
29,30,60.0,6324,IR1,Gtl,BrkSide,4,6,1927,1950,None,0.0,BrkTil,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1920.0,1,240,49,0,87,0,0,0,0,5,2008,68500,11.134589024250317
30,31,50.0,8500,Reg,Gtl,IDOTRR,4,4,1920,1950,None,0.0,BrkTil,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1920.0,1,250,0,54,172,0,0,0,0,7,2008,40000,10.596634733096073
31,32,70.04995836802665,8544,IR1,Gtl,Sawyer,5,6,1966,2006,None,0.0,CBlock,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1966.0,1,271,0,65,0,0,0,0,0,6,2008,149350,11.914047823644255
32,33,85.0,11049,Reg,Gtl,CollgCr,8,5,2007,2007,None,0.0,PConc,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2007.0,2,484,0,30,0,0,0,0,0,1,2008,179900,12.100156419938624
33,34,70.0,10552,IR1,Gtl,NAmes,5,5,1959,1959,None,0.0,CBlock,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,1959.0,2,447,0,38,0,0,0,0,0,4,2010,165500,12.016726473799254
34,35,60.0,7313,Reg,Gtl,NridgHt,9,5,2005,2005,BrkFace,246.0,PConc,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2005.0,2,556,203,47,0,0,0,0,0,8,2007,277500,12.533576212168626
35,36,108.0,13418,Reg,Gtl,NridgHt,8,5,2004,2005,Stone,132.0,PConc,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,2004.0,3,691,113,32,0,0,0,0,0,9,2006,309000,12.641096555879882
36,37,112.0,10859,Reg,Gtl,CollgCr,5,5,1994,1995,None,0.0,PConc,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,1995.0,2,672,392,64,0,0,0,0,0,6,2009,145000,11.884489021402711
37,38,74.0,8532,Reg,Gtl,NAmes,5,6,1954,1990,BrkFace,650.0,CBlock,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,1954.0,2,498,0,0,0,0,0,0,0,10,2009,153000,11.938193200374572
38,39,68.0,7922,Reg,Gtl,NAmes,5,7,1953,2007,None,0.0,CBlock,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1953.0,1,246,0,52,0,0,0,0,0,1,2010,109000,11.59910316121128
39,40,65.0,6040,Reg,Gtl,Edwards,4,5,1955,1955,None,0.0,PConc,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,1955.0,0,0,0,0,0,0,0,0,0,6,2008,82000,11.314474526246391
40,41,84.0,8658,Reg,Gtl,NAmes,6,5,1965,1965,BrkFace,101.0,CBlock,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,1965.0,2,440,0,138,0,0,0,0,0,12,2006,160000,11.982929094215963
41,42,115.0,16905,Reg,Gtl,Timber,5,6,1959,1959,None,0.0,CBlock,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1959.0,1,308,0,104,0,0,0,0,0,7,2007,170000,12.043553716032399
42,43,70.04995836802665,9180,IR1,Gtl,SawyerW,5,7,1983,1983,None,0.0,CBlock,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,1983.0,2,504,240,0,0,0,0,0,0,12,2007,144000,11.877568578558138
43,44,70.04995836802665,9200,IR1,Gtl,CollgCr,5,6,1975,1980,None,0.0,CBlock,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1977.0,1,308,145,0,0,0,0,0,0,7,2008,130250,11.777210959615614
44,45,70.0,7945,Reg,Gtl,NAmes,5,6,1959,1959,None,0.0,CBlock,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1959.0,1,300,0,0,0,0,0,0,0,5,2006,141000,11.856515169360305
45,46,61.0,7658,Reg,Gtl,NridgHt,9,5,2005,2005,BrkFace,412.0,PConc,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2005.0,2,576,196,82,0,0,0,0,0,2,2010,319900,12.675763725937609
46,47,48.0,12822,IR1,Gtl,Mitchel,7,5,2003,2003,None,0.0,PConc,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2003.0,2,670,168,43,0,0,198,0,0,8,2009,239686,12.387085012375499
47,48,84.0,11096,Reg,Gtl,Somerst,8,5,2006,2006,None,0.0,PConc,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,2006.0,3,826,0,146,0,0,0,0,0,7,2007,249700,12.428015476267865
48,49,33.0,4456,Reg,Gtl,OldTown,4,5,1920,2008,None,0.0,BrkTil,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,1920.0,0,0,0,0,102,0,0,0,0,6,2009,113000,11.635143097694478
49,50,66.0,7742,Reg,Gtl,Sawyer,5,7,1966,1966,None,0.0,CBlock,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1966.0,1,386,0,0,0,0,0,0,0,1,2007,127000,11.751942365440728
50,51,70.04995836802665,13869,IR2,Gtl,Gilbert,6,6,1997,1997,None,0.0,PConc,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,1997.0,2,388,0,75,0,0,0,0,0,7,2007,177000,12.083905011555967
51,52,52.0,6240,Reg,Gtl,BrkSide,6,6,1934,1950,None,0.0,PConc,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,1985.0,2,528,112,0,0,0,0,0,400,9,2006,114500,11.648330101976432
52,53,110.0,8472,IR2,Mod,IDOTRR,5,5,1963,1963,None,0.0,CBlock,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,1963.0,2,516,106,0,0,0,0,0,0,5,2010,110000,11.608235644774552
53,54,68.0,50271,IR1,Gtl,Veenker,9,5,1981,1987,None,0.0,CBlock,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,1981.0,3,894,857,72,0,0,0,0,0,11,2006,385000,12.86099861326992
54,55,60.0,7134,Reg,Mod,NAmes,5,5,1955,1955,None,0.0,CBlock,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,1962.0,2,572,0,50,0,0,0,0,0,2,2007,130000,11.77528972943772
55,56,100.0,10175,IR1,Gtl,NAmes,6,5,1964,1964,BrkFace,272.0,CBlock,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,1964.0,2,576,0,0,0,407,0,0,0,7,2008,180500,12.103486056755072
56,57,24.0,2645,Reg,Gtl,Somerst,8,5,1999,2000,BrkFace,456.0,PConc,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,1999.0,2,480,115,0,0,0,0,0,0,8,2009,172500,12.058152515453552
57,58,89.0,11645,IR1,Gtl,CollgCr,7,5,2004,2004,None,0.0,PConc,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2004.0,2,565,0,70,0,0,0,0,0,8,2006,196500,12.188417710291453
58,59,66.0,13682,IR2,Gtl,StoneBr,10,5,2006,2006,BrkFace,1031.0,PConc,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,2006.0,3,641,192,0,37,0,0,0,0,10,2006,438780,12.991753427493052
59,60,60.0,7200,Reg,Gtl,CollgCr,5,7,1972,1972,None,0.0,CBlock,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1973.0,1,352,196,0,0,0,0,0,0,1,2008,124900,11.73526869611367
60,61,63.0,13072,Reg,Gtl,SawyerW,6,5,2004,2004,None,0.0,PConc,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2006.0,2,576,0,50,0,0,0,0,0,5,2006,158000,11.970350312009105
