Id,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCond,Fence,SalePrice_log,SalePrice,HasGasHeating,Electrical_combined,GarageType_combined,GarageQual_combined,SaleType_combined,HasPavedDrive,SaleCond_combined,HasCentralAir
0,5,4,2,7,2,5,4,8,1,3,4,1,12.24769432,208500,1,1,1,3,1,1,1,1
1,5,4,5,6,2,5,3,8,4,3,4,1,12.10901093,181500,1,1,1,3,1,1,1,1
2,5,4,3,7,2,5,4,8,4,3,4,1,12.31716669,223500,1,1,1,3,1,1,1,1
3,4,5,2,6,2,4,4,8,5,2,4,1,11.8493977,140000,1,1,2,3,1,1,0,1
4,5,4,4,7,2,5,4,8,4,3,4,1,12.4292162,250000,1,1,1,3,1,1,1,1
5,5,4,2,7,2,5,3,8,1,2,4,4,11.87059991,143000,1,1,1,3,1,1,1,1
6,6,4,4,7,2,5,4,8,5,3,4,1,12.63460303,307000,1,1,1,3,1,1,1,1
7,5,4,3,6,5,5,3,8,4,3,4,1,12.20607265,200000,1,1,1,3,1,1,1,1
8,4,4,2,2,2,4,3,7,4,2,4,1,11.7745202,129900,1,0,2,2,1,1,0,1
9,4,4,2,7,2,5,3,8,4,3,4,1,11.6784399,118000,1,1,1,2,1,1,1,1
10,4,4,2,4,2,5,3,8,1,2,4,1,11.77143616,129500,1,1,2,3,1,1,1,1
11,6,4,2,7,2,5,5,8,5,4,4,1,12.7512997,345000,1,1,3,3,2,1,0,1
12,4,4,2,6,2,3,3,8,1,2,4,1,11.87756858,144000,1,1,2,3,1,1,1,1
13,5,4,4,2,2,5,4,8,5,3,4,1,12.54075757,279500,1,1,1,3,2,1,0,1
14,4,4,2,5,2,3,3,8,3,3,4,3,11.96400108,157000,1,1,1,3,1,1,1,1
15,4,4,2,2,2,5,3,8,1,2,4,5,11.7905572,132000,1,2,2,3,1,1,1,1
16,4,4,2,6,2,5,3,8,4,4,4,1,11.91170158,149000,1,1,1,3,1,1,1,1
17,1,1,1,1,1,3,3,8,1,2,4,1,11.40756495,90000,1,1,0,3,1,1,1,1
18,4,4,2,7,2,5,4,8,1,2,4,1,11.97665948,159000,1,1,2,3,1,1,1,1
19,4,4,2,3,2,3,3,7,1,2,4,4,11.84222921,139000,1,1,1,3,0,1,0,1
20,6,4,4,2,2,5,4,8,5,3,4,1,12.69250311,325300,1,1,3,3,2,1,0,1
21,4,4,2,2,2,5,4,8,5,2,4,5,11.84510278,139400,1,0,1,3,1,0,1,1
22,5,4,2,2,2,5,4,8,5,3,4,1,12.34583459,230000,1,1,1,3,1,1,1,1
23,5,4,2,7,2,3,3,8,4,2,4,1,11.7745202,129900,1,1,1,3,1,1,1,1
24,4,4,3,4,6,5,4,8,4,2,4,4,11.94470788,154000,1,1,1,3,1,1,1,1
25,5,4,2,2,2,5,4,8,5,3,4,1,12.45410391,256300,1,1,1,3,1,1,1,1
26,4,4,3,5,4,3,4,8,1,2,4,1,11.81154748,134800,1,1,2,3,1,1,1,1
27,6,4,2,7,2,5,4,8,5,3,4,1,12.63134038,306000,1,1,1,3,1,1,1,1
28,4,4,5,5,2,3,3,8,5,3,4,1,12.24288662,207500,1,1,1,3,1,1,1,1
29,4,4,2,2,2,2,2,8,1,2,4,1,11.13458902,68500,1,1,2,2,1,1,1,0
30,4,4,2,2,2,3,3,8,1,2,3,4,10.59663473,40000,1,1,2,3,1,0,1,0
31,4,4,2,2,2,4,4,8,1,2,4,4,11.91404782,149350,1,1,1,3,1,1,1,1
32,6,4,4,2,2,5,4,8,1,3,4,1,12.10015642,179900,1,1,1,3,1,1,1,1
33,4,4,2,4,2,4,4,8,5,3,4,1,12.01672647,165500,1,1,1,3,1,1,1,1
34,6,4,2,7,2,5,5,8,5,4,4,1,12.53357621,277500,1,1,1,3,1,1,1,1
35,6,4,4,2,2,5,4,8,5,4,4,1,12.64109656,309000,1,1,3,3,1,1,1,1
36,5,4,2,2,2,5,3,8,1,2,4,1,11.88448902,145000,1,1,1,3,1,1,1,1
37,4,4,2,4,2,4,3,8,4,4,4,1,11.9381932,153000,1,1,1,3,1,1,1,1
38,4,4,2,7,2,3,4,8,1,2,4,1,11.59910316,109000,1,1,2,3,1,1,0,1
39,1,1,1,1,1,3,2,8,1,1,1,1,11.31447453,82000,1,0,0,1,1,0,0,0
40,4,4,2,4,2,5,3,8,4,3,4,3,11.98292909,160000,1,1,1,3,1,1,0,1
41,4,4,5,5,2,4,3,8,5,3,4,1,12.04355372,170000,1,1,1,3,1,0,1,1
42,5,4,4,6,3,4,4,8,1,3,5,4,11.87756858,144000,1,1,1,3,1,1,1,1
43,5,4,4,3,5,3,3,8,1,2,4,4,11.77721096,130250,1,1,2,3,1,1,1,1
44,4,4,2,6,5,5,3,8,1,3,4,1,11.85651517,141000,1,2,1,3,1,1,1,1
45,6,4,2,7,2,5,5,8,5,3,4,1,12.67576373,319900,1,1,1,3,1,1,1,1
46,6,4,2,7,2,5,4,8,6,3,4,1,12.38708501,239686,1,1,1,3,1,1,0,1
47,5,4,4,7,2,5,4,8,1,3,4,1,12.42801548,249700,1,1,1,3,1,1,1,1
48,4,4,2,2,2,4,3,8,1,1,1,1,11.6351431,113000,1,1,0,1,2,0,0,1
49,4,4,2,5,2,5,3,8,1,2,4,4,11.75194237,127000,1,1,1,3,1,1,1,1
50,5,4,4,7,2,4,3,8,1,4,4,1,12.08390501,177000,1,1,1,3,1,1,1,1
51,4,4,2,2,2,3,3,8,5,2,4,4,11.6483301,114500,1,1,2,3,1,1,1,1
52,5,4,5,3,7,3,3,8,1,2,4,1,11.60823564,110000,1,1,0,3,1,1,1,0
53,6,4,5,7,2,4,4,8,5,4,4,1,12.86099861,385000,1,1,1,3,1,1,1,1
54,4,4,2,6,2,3,3,7,4,2,4,4,11.77528973,130000,1,1,2,3,1,1,1,1
55,4,4,2,5,2,4,3,8,5,3,4,1,12.10348606,180500,1,1,1,3,1,1,1,1
56,5,4,2,7,2,5,4,8,1,4,4,1,12.05815252,172500,1,1,1,3,1,1,0,1
57,5,4,2,2,2,5,4,8,1,3,4,1,12.18841771,196500,1,1,1,3,1,1,1,1
58,6,4,5,2,2,5,4,8,5,4,4,1,12.99175343,438780,1,1,3,3,2,1,0,1
59,4,4,4,6,2,5,3,8,1,2,4,4,11.7352687,124900,1,1,2,3,1,1,1,1
60,5,4,2,6,2,5,4,8,1,2,4,1,11.97035031,158000,1,1,2,3,2,1,0,1
61,4,3,2,2,2,3,2,8,1,2,4,1,11.5228758,101000,1,1,2,3,1,0,1,0
62,5,5,3,7,2,5,4,8,5,3,4,1,12.21849517,202500,1,1,1,3,1,1,1,1
63,4,4,2,2,2,4,3,8,1,2,4,5,11.8493977,140000,1,1,2,3,1,1,1,1
64,5,4,2,7,2,5,4,8,1,3,4,5,12.29910751,219500,1,1,1,3,1,1,1,1
65,6,4,4,2,2,5,4,8,5,3,4,1,12.66665705,317000,1,1,3,3,1,1,1,1
66,5,4,5,7,2,3,3,7,5,3,4,1,12.10071213,180000,1,1,1,3,1,1,1,1
