,Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCond,Fence,SalePrice_log_y,SalePrice_y,HasGasHeating,Electrical_combined,GarageType_combined,GarageQual_combined,SaleType_combined,HasPavedDrive,SaleCond_combined,HasCentralAir,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation
0,0,65.0,8450,7,5,2003,2003,196.0,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003.0,2,548,0,61,0,0,0,0,0,2,2008,5,4,2,7,2,5,4,8,1,3,4,1,12.24769432,208500,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,6,3,3,1,6,2,2,13,13,2,4,3,3
1,1,80.0,9600,6,8,1976,1976,0.0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976.0,2,460,298,0,0,0,0,0,0,5,2007,5,4,5,6,2,5,3,8,4,3,4,1,12.10901093,181500,1,1,1,3,1,1,1,1,4,2,3,1,4,1,3,1,25,2,3,1,3,2,2,9,9,3,3,3,2
2,2,68.0,11250,7,5,2001,2002,162.0,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001.0,2,608,0,42,0,0,0,0,0,9,2008,5,4,3,7,2,5,4,8,4,3,4,1,12.31716669,223500,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,6,3,3,1,6,2,2,13,13,2,4,3,3
3,3,60.0,9550,7,5,1915,1970,0.0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998.0,3,642,0,35,272,0,0,0,0,2,2006,4,5,2,6,2,4,4,8,5,2,4,1,11.849397699999999,140000,1,1,2,3,1,1,0,1,4,2,3,2,4,1,1,1,7,3,3,1,6,2,2,14,15,3,3,3,1
4,4,84.0,14260,8,5,2000,2000,350.0,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000.0,3,836,192,84,0,0,0,0,0,12,2008,5,4,4,7,2,5,4,8,4,3,4,1,12.429216199999999,250000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,3,1,14,3,3,1,6,2,2,13,13,2,4,3,3
5,5,85.0,14115,5,5,1993,1995,0.0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993.0,2,480,40,30,0,320,0,0,700,10,2009,5,4,2,7,2,5,3,8,1,2,4,4,11.87059991,143000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,5,1,12,3,3,1,1,2,2,13,13,3,3,3,6
6,6,75.0,10084,8,5,2004,2005,186.0,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004.0,2,636,255,57,0,0,0,0,0,8,2007,6,4,4,7,2,5,4,8,5,3,4,1,12.63460303,307000,1,1,1,3,1,1,1,1,4,2,3,1,4,1,5,1,21,3,3,1,3,2,2,13,13,4,4,3,3
7,7,70.04995836802665,10382,7,6,1973,1973,240.0,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973.0,2,484,235,204,228,0,0,0,350,11,2009,5,4,3,6,5,5,3,8,4,3,4,1,12.20607265,200000,1,1,1,3,1,1,1,1,4,2,3,2,4,1,1,1,17,5,3,1,6,2,2,7,7,4,3,3,2
8,8,51.0,6120,7,5,1931,1950,0.0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931.0,2,468,90,0,205,0,0,0,0,4,2008,4,4,2,2,2,4,3,7,4,2,4,1,11.7745202,129900,1,0,2,2,1,1,0,1,5,2,3,1,4,1,5,1,18,1,3,1,1,2,2,4,15,3,3,3,1
9,9,50.0,7420,5,6,1939,1950,0.0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939.0,1,205,0,4,0,0,0,0,0,1,2008,4,4,2,7,2,5,3,8,4,3,4,1,11.6784399,118000,1,1,1,2,1,1,1,1,4,2,3,1,4,1,1,1,4,1,1,2,2,2,2,9,9,3,3,3,1
