,Id,MSSubClass,LotFrontage,LotArea,OverallQual,YearBuilt,MasVnrArea,ExterQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,SalePrice,SalePrice_log,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasFirePlace,HasGasHeating,HasSBrkr,HasExBsmtQual,HasGd,HasGLQ,HasPavedDrive,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
0,1,60,65.0,8450,7,2003,196.0,Gd,TA,GLQ,706,150,856,Ex,Y,856,854,1710,1,0,2,1,1,Gd,8,Attchd,RFn,548,TA,0,61,0,0,0,208500,12.247694320220994,2566,5,61,3.5,0,1,1,0,0,1,1,1,0,0,1,1,0,0,2,0,1
1,2,20,80.0,9600,6,1976,0.0,TA,TA,ALQ,978,284,1262,Ex,Y,1262,0,1262,0,1,2,0,1,TA,6,Attchd,RFn,460,TA,298,0,0,0,0,181500,12.109010932687042,2524,31,0,2.5,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1
2,3,60,68.0,11250,7,2001,162.0,Gd,TA,GLQ,486,434,920,Ex,Y,920,866,1786,1,0,2,1,1,Gd,6,Attchd,RFn,608,TA,0,42,0,0,0,223500,12.31716669303576,2706,6,42,3.5,0,1,1,0,0,1,1,1,0,0,1,1,1,0,2,0,1
3,4,70,60.0,9550,7,1915,0.0,TA,Gd,ALQ,216,540,756,Gd,Y,961,756,1717,1,0,1,0,1,Gd,7,Detchd,Unf,642,TA,0,35,272,0,0,140000,11.84939770159144,2473,36,307,2.0,3,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1
4,5,60,84.0,14260,8,2000,350.0,Gd,TA,GLQ,655,490,1145,Ex,Y,1145,1053,2198,1,0,2,1,1,Gd,9,Attchd,RFn,836,TA,192,84,0,0,0,250000,12.429216196844383,3343,8,84,3.5,3,1,1,1,0,1,1,1,0,0,1,1,1,0,2,0,2
5,6,50,85.0,14115,5,1993,0.0,TA,TA,GLQ,732,64,796,Ex,Y,796,566,1362,1,0,1,1,1,TA,5,Attchd,Unf,480,TA,40,30,0,320,0,143000,11.870599909242044,2158,14,350,2.5,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1
6,7,20,75.0,10084,8,2004,186.0,Gd,TA,GLQ,1369,317,1686,Ex,Y,1694,0,1694,1,0,2,0,1,Gd,7,Attchd,RFn,636,TA,255,57,0,0,0,307000,12.634603026569334,3380,2,57,3.0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,2,1,1
7,8,60,70.04995836802665,10382,7,1973,240.0,TA,TA,ALQ,859,216,1107,Ex,Y,1107,983,2090,1,0,2,1,1,TA,7,Attchd,RFn,484,TA,235,204,228,0,0,200000,12.206072645530174,3197,36,432,3.5,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1
8,9,50,51.0,6120,7,1931,0.0,TA,TA,Unf,0,952,952,Gd,Y,1022,752,1774,0,0,2,0,2,TA,8,Detchd,Unf,468,Fa,90,0,205,0,0,129900,11.77452020265869,2726,58,205,2.0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
9,10,190,50.0,7420,5,1939,0.0,TA,TA,GLQ,851,140,991,Ex,Y,1077,0,1077,1,0,1,0,2,TA,5,Attchd,RFn,205,Gd,0,4,0,0,0,118000,11.678439903447801,2068,58,4,2.0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1
